link,title,update,views,city,make,model,year,ban_type,colour,engine,ride,transmission,gear,is_new,price
https://turbo.az/autos/7752203-hyundai-santa-fe,"Hyundai Santa Fe, ",Yeniləndi: 27.09.2023,Baxışların sayı: 1000,Bakı,Hyundai,Santa Fe,2014,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,155 300 km,Avtomat,Tam,Xeyr,36 000 AZN
https://turbo.az/autos/7771966-ford-transit,"Ford Transit, ",Yeniləndi: 27.09.2023,Baxışların sayı: 5,Bakı,Ford,Transit,2011,Furqon,Ağ,2.4 L/140 a.g./Dizel,368 900 km,Mexaniki,Arxa,Xeyr,24 500 AZN
https://turbo.az/autos/7752951-bmw-x5,"BMW X5, ",Yeniləndi: 27.09.2023,Baxışların sayı: 2367,Bakı,BMW,X5,2002,Offroader / SUV,Qızılı,3.0 L/231 a.g./Benzin,324 000 km,Avtomat,Tam,Xeyr,11 700 AZN
https://turbo.az/autos/7744843-mercedes-c-250,"Mercedes C 250, ",Yeniləndi: 22.09.2023,Baxışların sayı: 5224,Bakı,Mercedes,C 250,2013,Sedan,Ağ,1.8 L/204 a.g./Benzin,217 000 km,Avtomat,Arxa,Xeyr,25 800 AZN
https://turbo.az/autos/7750019-hyundai-grandeur,"Hyundai Grandeur, ",Yeniləndi: 27.09.2023,Baxışların sayı: 2091,Bakı,Hyundai,Grandeur,2011,Sedan,Qara,2.4 L/180 a.g./Benzin,241 000 km,Avtomat,Ön,Xeyr,23 000 AZN
https://turbo.az/autos/7764344-kia-rio,"Kia Rio, ",Yeniləndi: 27.09.2023,Baxışların sayı: 790,Bakı,Kia,Rio,2009,Hetçbek,Qara,1.4 L/97 a.g./Benzin,145 256 km,Mexaniki,Ön,Xeyr,12 400 AZN
https://turbo.az/autos/7771956-mercedes-e-220,"Mercedes E 220, ",Yeniləndi: 27.09.2023,Baxışların sayı: 70,Bakı,Mercedes,E 220,2007,Universal,Ağ,2.2 L/170 a.g./Dizel,267 500 km,Avtomat,Arxa,Xeyr,19 800 AZN
https://turbo.az/autos/7761747-hyundai-sonata,"Hyundai Sonata, ",Yeniləndi: 27.09.2023,Baxışların sayı: 667,Bakı,Hyundai,Sonata,2010,Sedan,Ağ,2.4 L/174 a.g./Benzin,185 127 km,Avtomat,Ön,Xeyr,21 000 AZN
https://turbo.az/autos/7738080-toyota-prius,"Toyota Prius, ",Yeniləndi: 27.09.2023,Baxışların sayı: 393,Bakı,Toyota,Prius,2007,Liftbek,Qırmızı,1.5 L/76 a.g./Hibrid,200 000 km,Variator,Ön,Xeyr,12 000 AZN
https://turbo.az/autos/7711585-toyota-rav4,"Toyota RAV4, ",Yeniləndi: 27.09.2023,Baxışların sayı: 1341,Bakı,Toyota,RAV4,2013,Offroader / SUV,Qəhvəyi,2.0 L/151 a.g./Benzin,151 000 km,Avtomat,Tam,Xeyr,37 200 AZN
https://turbo.az/autos/7768934-land-rover-rr-evoque,"Land Rover RR Evoque, ",Yeniləndi: 27.09.2023,Baxışların sayı: 121,Bakı,Land Rover,RR Evoque,2017,Offroader / SUV,Qara,2.0 L/240 a.g./Benzin,85 000 km,Avtomat,Tam,Xeyr,32 500 USD
https://turbo.az/autos/7762546-mercedes-e-230,"Mercedes E 230, ",Yeniləndi: 27.09.2023,Baxışların sayı: 829,Bakı,Mercedes,E 230,1995,Sedan,Gümüşü,2.3 L/150 a.g./Benzin,352 500 km,Avtomat,Arxa,Xeyr,8 300 AZN
https://turbo.az/autos/7768139-bmw-528,"BMW 528, ",Yeniləndi: 27.09.2023,Baxışların sayı: 834,Bakı,BMW,528,2015,Sedan,Göy,2.0 L/245 a.g./Benzin,80 000 km,Avtomat,Arxa,Xeyr,25 000 USD
https://turbo.az/autos/7709197-hyundai-santa-fe,"Hyundai Santa Fe, ",Yeniləndi: 27.09.2023,Baxışların sayı: 2198,Bakı,Hyundai,Santa Fe,2014,Offroader / SUV,Gümüşü,2.0 L/265 a.g./Benzin,106 540 km,Avtomat,Ön,Xeyr,31 500 AZN
https://turbo.az/autos/7762262-land-rover-discovery,"Land Rover Discovery, ",Yeniləndi: 27.09.2023,Baxışların sayı: 1128,Bakı,Land Rover,Discovery,2019,Offroader / SUV,Qara,3.0 L/340 a.g./Benzin,67 000 km,Avtomat,Tam,Xeyr,40 000 USD
