link,title,update,views,city,make,model,year,ban_type,colour,engine,ride,transmission,gear,is_new,price
https://turbo.az/autos/7402823-land-rover-range-rover,"Land Rover Range Rover, ",Yeniləndi: 25.09.2023,Baxışların sayı: 5101,Bakı,Land Rover,Range Rover,2017,Offroader / SUV,Göy,3.0 L/275 a.g./Dizel,174 000 km,Avtomat,Tam,Avtomat,74 900 USD
https://turbo.az/autos/7766154-kia-carens,"Kia Carens, ",Yeniləndi: 25.09.2023,Baxışların sayı: 320,Gəncə,Kia,Carens,2007,Minivan,Gümüşü,2.0 L/145 a.g./Benzin,184 000 km,Avtomat,Ön,Avtomat,16 200 AZN
https://turbo.az/autos/7766158-bmw-328,"BMW 328, ",Yeniləndi: 25.09.2023,Baxışların sayı: 529,Bakı,BMW,328,2013,Sedan,Qəhvəyi,2.0 L/245 a.g./Benzin,169 000 km,Avtomat,Arxa,Avtomat,17 500 USD
https://turbo.az/autos/7755609-opel-vita,"Opel Vita, ",Yeniləndi: 25.09.2023,Baxışların sayı: 4949,Bakı,Opel,Vita,2000,Hetçbek,Qara,1.4 L/90 a.g./Benzin,226 000 km,Avtomat,Ön,Avtomat,6 300 AZN
https://turbo.az/autos/7766159-lada-vaz-21099,"LADA (VAZ) 21099, ",Yeniləndi: 25.09.2023,Baxışların sayı: 546,Bakı,LADA (VAZ),21099,1997,Sedan,Göy,1.5 L/78 a.g./Benzin,380 000 km,Mexaniki,Ön,Mexaniki,4 600 AZN
https://turbo.az/autos/7766127-muravey-muravey-2-01,"Muravey Muravey- 2 01, ",Yeniləndi: 25.09.2023,Baxışların sayı: 256,Bakı,Muravey,Muravey- 2 01,2023,Motosiklet,Qırmızı,0.2 L/24 a.g./Benzin,800 km,Mexaniki,Tam,Mexaniki,4 550 AZN
https://turbo.az/autos/7766130-bmw-m5,"BMW M5, ",Yeniləndi: 25.09.2023,Baxışların sayı: 602,Bakı,BMW,M5,2014,Sedan,Qara,4.4 L/560 a.g./Benzin,90 000 km,Avtomat,Arxa,Avtomat,47 000 USD
https://turbo.az/autos/7682636-opel-corsa,"Opel Corsa, ",Yeniləndi: 25.09.2023,Baxışların sayı: 1009,Bakı,Opel,Corsa,2006,Hetçbek,Gümüşü,1.3 L/70 a.g./Dizel,202 000 km,Mexaniki,Ön,Mexaniki,8 600 AZN
https://turbo.az/autos/7766129-hyundai-elantra,"Hyundai Elantra, ",Yeniləndi: 25.09.2023,Baxışların sayı: 217,Bakı,Hyundai,Elantra,2011,Sedan,Qara,1.8 L/150 a.g./Benzin,200 000 km,Avtomat,Ön,Avtomat,21 300 AZN
https://turbo.az/autos/7766128-khazar-lx,"Khazar LX, ",Yeniləndi: 25.09.2023,Baxışların sayı: 209,Bakı,Khazar,LX,2021,Sedan,Ağ,1.7 L/113 a.g./Benzin,84 000 km,Mexaniki,Ön,Mexaniki,19 366 AZN
