title,city,brand,fields,values,price,update,views
"Hyundai Sonata, ",Bakı,Hyundai,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti","Bakı,Sedan,Qara,2.0 L/274 a.g./Benzin,100 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib",29 400 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 1376
"Nissan Tiida, ",Bakı,Nissan,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Hetçbek,Qızılı,1.5 L/109 a.g./Benzin,38 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Yaponiya",14 700 AZN,Yeniləndi: 25.09.2023,Baxışların sayı: 656
"GAZ Gazon C41R33, ",Bakı,GAZ,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti","Bakı,Yük maşını,Ağ,4.4 L/170 a.g./Dizel,0 km,Mexaniki,Arxa,Bəli,Vuruğu yoxdur, rənglənməyib",56 500 AZN,Yeniləndi: 20.09.2023,Baxışların sayı: 4532
"BMW 528, ",Bakı,BMW,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Sahiblər,Vəziyyəti","Bakı,Sedan,Ağ,2.0 L/245 a.g./Benzin,159 500 km,Avtomat,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib",22 800 USD,Yeniləndi: 21.09.2023,Baxışların sayı: 1387
"Lexus RX 350, ",Bakı,Lexus,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Sahiblər,Vəziyyəti","Bakı,Offroader / SUV,Ağ,3.5 L/275 a.g./Benzin,156 000 km,Avtomat,Tam,Xeyr,Vuruğu yoxdur, rənglənməyib",32 500 AZN,Yeniləndi: 21.09.2023,Baxışların sayı: 2898
"Toyota Prius, ",Bakı,Toyota,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti","Bakı,Liftbek,Gümüşü,1.5 L/76 a.g./Hibrid,25 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib",12 000 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 2802
"Land Rover RR Sport, ",Bakı,Land Rover,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti","Bakı,Offroader / SUV,Yaş Asfalt,3.0 L/360 a.g./Benzin,93 000 km,Avtomat,Tam,Xeyr,Vuruğu yoxdur, rənglənməyib",62 500 USD,Yeniləndi: 26.09.2023,Baxışların sayı: 1956
"Kia Cerato, ",Bakı,Kia,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Boz,1.8 L/149 a.g./Benzin,218 871 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Amerika",20 800 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 202
"Nissan Wingroad, ",Bakı,Nissan,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Universal,Gümüşü,1.5 L/109 a.g./Benzin,68 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Yaponiya",15 300 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 1886
"Toyota C-HR, ",Bakı,Toyota,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Offroader / SUV,Ağ,1.8 L/120 a.g./Hibrid,25 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Rəsmi diler",29 800 USD,Yeniləndi: 26.09.2023,Baxışların sayı: 2062
"Mercedes C 250, ",Bakı,Mercedes,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Qara,1.8 L/204 a.g./Benzin,98 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Amerika",26 800 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 5970
"Mercedes GLE 53 AMG Coupe, ",Bakı,Mercedes,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Offroader / SUV,Qara,3.0 L/435 a.g./Benzin,11 394 km,Avtomat,Tam,Xeyr,Vuruğu yoxdur, rənglənməyib,Rəsmi diler",115 000 USD,Yeniləndi: 26.09.2023,Baxışların sayı: 120
"BMW 528, ",Bakı,BMW,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Ağ,2.0 L/245 a.g./Benzin,95 000 km,Avtomat,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib,Amerika",33 800 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 4803
"LADA (VAZ) 21099, ",Bakı,LADA (VAZ),"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Göy,1.5 L/78 a.g./Benzin,116 000 km,Mexaniki,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Rusiya",3 200 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 308
"BMW X5, ",Bakı,BMW,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Sahiblər,Vəziyyəti","Bakı,Offroader / SUV,Ağ,3.0 L/306 a.g./Benzin,233 000 km,Avtomat,Tam,Xeyr,Vuruğu yoxdur, rənglənməyib",30 900 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 3872
"Hyundai Elantra, ",Bakı,Hyundai,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Tünd qırmızı,1.8 L/150 a.g./Benzin,98 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Amerika",21 500 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 2901
"Hyundai Elantra, ",Bakı,Hyundai,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Göy,2.0 L/150 a.g./Benzin,130 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Amerika",26 900 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 2964
"BMW 528, ",Bakı,BMW,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Qara,2.8 L/193 a.g./Benzin,190 000 km,Avtomat,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib,Amerika",12 500 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 395
"Land Rover Discovery, ",Bakı,Land Rover,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Offroader / SUV,Göy,3.0 L/340 a.g./Benzin,67 000 km,Avtomat,Tam,Xeyr,Vuruğu yoxdur, rənglənməyib,Amerika",48 000 USD,Yeniləndi: 26.09.2023,Baxışların sayı: 680
"Hyundai Elantra, ",Bakı,Hyundai,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti","Bakı,Sedan,Qara,1.8 L/150 a.g./Benzin,111 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib",21 700 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 660
"Kia Sorento, ",Bakı,Kia,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Vəziyyəti","Bakı,Offroader / SUV,Yaş Asfalt,2.0 L/184 a.g./Dizel,153 000 km,Avtomat,Tam,Xeyr,Vuruğu yoxdur, rənglənməyib",34 900 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 7082
"Toyota Prius, ",Bakı,Toyota,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Liftbek,Yaş Asfalt,1.5 L/76 a.g./Hibrid,202 341 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Avropa",14 900 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 496
"Nissan Sunny, ",Bakı,Nissan,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Boz,1.2 L/84 a.g./Benzin,38 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Yaponiya",15 300 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 6407
"Hyundai Sonata, ",Bakı,Hyundai,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Qara,2.0 L/245 a.g./Benzin,105 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Amerika",26 900 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 14863
"Nissan Wingroad, ",Bakı,Nissan,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Universal,Qara,1.5 L/109 a.g./Benzin,48 900 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Yaponiya",15 500 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 5425
"Hyundai Accent, ",Bakı,Hyundai,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Ağ,1.6 L/140 a.g./Benzin,49 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Rəsmi diler",28 800 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 1659
"Nissan Sunny, ",Bakı,Nissan,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Ağ,1.2 L/96 a.g./Benzin,41 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Yaponiya",15 300 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 4745
"Nissan Sunny, ",Bakı,Nissan,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Gümüşü,1.2 L/84 a.g./Benzin,45 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Yaponiya",15 300 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 2765
"Hyundai Sonata, ",Bakı,Hyundai,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Boz,2.0 L/150 a.g./Benzin,0 km,Avtomat,Ön,Bəli,Vuruğu yoxdur, rənglənməyib,Rəsmi diler",59 900 AZN,Yeniləndi: 25.09.2023,Baxışların sayı: 2197
"BMW 528, ",Bakı,BMW,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Vəziyyəti","Bakı,Sedan,Yaş Asfalt,2.0 L/245 a.g./Benzin,104 764 km,Avtomat,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib",25 900 USD,Yeniləndi: 26.09.2023,Baxışların sayı: 7430
"Nissan Micra, ",Bakı,Nissan,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Hetçbek,Qızılı,1.2 L/80 a.g./Benzin,41 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Yaponiya",12 700 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 6506
"Nissan Micra, ",Bakı,Nissan,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Hetçbek,Qara,1.2 L/96 a.g./Benzin,71 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Yaponiya",12 600 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 2506
"Nissan Micra, ",Bakı,Nissan,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti","Bakı,Hetçbek,Qəhvəyi,1.2 L/80 a.g./Benzin,43 257 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib",12 900 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 18999
"Ford Transit, ",Bakı,Ford,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti","Bakı,Furqon,Ağ,2.4 L/140 a.g./Dizel,114 800 km,Mexaniki,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib",26 900 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 2225
"VGV U75 Plus, ",Bakı,VGV,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Offroader / SUV,Bənövşəyi,2.0 L/224 a.g./Benzin,0 km,Avtomat,Ön,Bəli,Vuruğu yoxdur, rənglənməyib,Avropa",42 900 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 6861
"Mercedes ML 320, ",Sumqayıt,Mercedes,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti","Sumqayıt,Offroader / SUV,Qara,3.2 L/218 a.g./Benzin,245 861 km,Avtomat,Tam,Xeyr,Vuruğu yoxdur, rənglənməyib",11 600 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 12935
"Honda Accord, ",Bakı,Honda,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Qara,2.0 L/252 a.g./Benzin,33 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Rəsmi diler",36 000 USD,Yeniləndi: 26.09.2023,Baxışların sayı: 8213
"Mercedes C 220, ",Bakı,Mercedes,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Gümüşü,2.2 L/102 a.g./Dizel,278 000 km,Avtomat,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib,Avropa",15 800 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 417
"Mercedes C 200, ",Bakı,Mercedes,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Boz,1.8 L/184 a.g./Benzin,234 000 km,Avtomat,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib,Avropa",23 800 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 2724
"Ford Transit, ",Bakı,Ford,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti","Bakı,Furqon,Ağ,2.2 L/125 a.g./Dizel,180 000 km,Mexaniki,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib",21 800 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 673
"Mercedes E 220, ",Bakı,Mercedes,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Gümüşü,2.2 L/143 a.g./Dizel,345 678 km,Avtomat,Arxa,Xeyr,Vuruğu yoxdur, rənglənib,Rəsmi diler",15 900 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 362
"Mercedes E 320, ",Sumqayıt,Mercedes,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti","Sumqayıt,Sedan,Boz,3.2 L/224 a.g./Benzin,349 100 km,Avtomat,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib",15 900 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 5930
"Toyota Prado, ",Bakı,Toyota,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Offroader / SUV,Qara,2.7 L/167 a.g./Benzin,176 596 km,Avtomat,Tam,Xeyr,Vuruğu yoxdur, rənglənməyib,Rəsmi diler",30 500 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 695
"Mercedes ML 400, ",Bakı,Mercedes,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti","Bakı,Offroader / SUV,Göy,4.0 L/250 a.g./Dizel,320 000 km,Avtomat,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib",15 800 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 8429
"Hyundai Sonata, ",Bakı,Hyundai,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Gümüşü,2.0 L/140 a.g./Dizel,300 600 km,Mexaniki,Ön,Xeyr,Vuruğu yoxdur, rənglənib,Avropa",14 400 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 3804
"DAF Hall, ",Bakı,DAF,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Yük maşını,Ağ,6.3 L/230 a.g./Dizel,200 000 km,Mexaniki,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib,Avropa",16 000 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 134
"BMW X6, ",Sumqayıt,BMW,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Vəziyyəti,Hansı bazar üçün yığılıb","Sumqayıt,Offroader / SUV,Qara,3.0 L/306 a.g./Dizel,192 000 km,Avtomat,Tam,Xeyr,Vuruğu yoxdur, rənglənməyib,Rəsmi diler",25 900 USD,Yeniləndi: 26.09.2023,Baxışların sayı: 138
"Volkswagen Passat, ",Bakı,Volkswagen,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti","Bakı,Sedan,Yaşıl,1.8 L/170 a.g./Benzin,245 678 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib",6 700 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 2884
"Hyundai Accent, ",Bakı,Hyundai,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Ağ,1.6 L/130 a.g./Benzin,89 640 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənib,Amerika",22 400 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 9194
"Nissan Wingroad, ",Bakı,Nissan,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Hetçbek,Ağ,1.5 L/109 a.g./Benzin,48 500 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Yaponiya",15 800 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 1926
"Kia Cerato, ",Bakı,Kia,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Tünd qırmızı,2.0 L/143 a.g./Benzin,237 355 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Koreya",13 800 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 143
"Nissan Micra, ",Bakı,Nissan,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Hetçbek,Qara,1.2 L/80 a.g./Benzin,39 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Yaponiya",12 500 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 12987
"Toyota Prius, ",Bakı,Toyota,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti","Bakı,Liftbek,Yaş Asfalt,1.5 L/76 a.g./Hibrid,163 121 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib",15 900 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 2214
"Nissan Leaf, ",Bakı,Nissan,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Hetçbek,Ağ,0.0 L/109 a.g./Elektro,165 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Avropa",13 300 AZN,Yeniləndi: 24.09.2023,Baxışların sayı: 2985
"Toyota Camry, ",Bakı,Toyota,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Ağ,2.5 L/218 a.g./Hibrid,38 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Rəsmi diler",42 800 USD,Yeniləndi: 26.09.2023,Baxışların sayı: 1452
"Nissan Note, ",Bakı,Nissan,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Hetçbek,Qara,1.2 L/98 a.g./Benzin,28 500 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Yaponiya",14 300 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 1353
"LADA (VAZ) 2107, ",Bakı,LADA (VAZ),"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti","Bakı,Sedan,Yaş Asfalt,1.6 L/75 a.g./Benzin,51 274 km,Mexaniki,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib",7 400 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 231
