title,city,brand,fields,values,price,update,views
"Kia Rio, ",Bakı,Kia,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Gümüşü,1.6 L/123 a.g./Benzin,23 772 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Rəsmi diler",31 200 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 17
"BMW 528, ",Bakı,BMW,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Tünd qırmızı,2.8 L/193 a.g./Benzin,270 000 km,Avtomat,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib,Avropa",8 400 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 59
"Mercedes C 220, ",Şirvan,Mercedes,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti","Şirvan,Universal,Gümüşü,2.2 L/125 a.g./Dizel,270 000 km,Avtomat,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib",12 800 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 47
"Opel Astra, ",Bakı,Opel,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Universal,Tünd qırmızı,1.3 L/90 a.g./Dizel,198 128 km,Mexaniki,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Avropa",11 500 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 12
"LADA (VAZ) 2106, ",Masallı,LADA (VAZ),"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Hansı bazar üçün yığılıb","Masallı,Sedan,Göy,1.6 L/75 a.g./Benzin,89 246 km,Mexaniki,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib,Digər",4 800 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 14
"Honda Insight, ",Bakı,Honda,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti","Bakı,Liftbek,Yaş Asfalt,1.3 L/88 a.g./Hibrid,250 000 km,Variator,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib",14 500 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 6
"Hyundai Accent, ",Sumqayıt,Hyundai,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Sumqayıt,Sedan,Gümüşü,1.5 L/110 a.g./Dizel,225 000 km,Mexaniki,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Avropa",13 000 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 1904
"Kia Cerato, ",Bakı,Kia,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Bakı,Sedan,Qara,1.6 L/124 a.g./Benzin,189 000 km,Avtomat,Ön,Xeyr,Vuruğu yoxdur, rənglənməyib,Rəsmi diler",21 900 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 496
"Hyundai Tucson, ",Bakı,Hyundai,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti","Bakı,Offroader / SUV,Gümüşü,1.6 L/177 a.g./Benzin,65 000 km,Avtomat,Ön,Xeyr,Vuruğu var, rənglənməyib",31 500 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 6
"LADA (VAZ) 2107, ",Ağdaş,LADA (VAZ),"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti,Hansı bazar üçün yığılıb","Ağdaş,Sedan,Ağ,1.6 L/75 a.g./Benzin,65 100 km,Mexaniki,Arxa,Xeyr,Vuruğu yoxdur, rənglənməyib,Rusiya",5 500 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 6
"Hyundai Tucson, ",Bakı,Hyundai,"Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Yerlərin sayı,Sahiblər,Vəziyyəti","Bakı,Offroader / SUV,Yaş Asfalt,2.0 L/141 a.g./Benzin,202 321 km,Avtomat,Tam,Xeyr,Vuruğu yoxdur, rənglənməyib",17 800 AZN,Yeniləndi: 26.09.2023,Baxışların sayı: 296
