link,title,update,views,city,make,model,year,ban_type,colour,engine,ride,transmission,gear,is_new,price
https://turbo.az/autos/7808118-toyota-rav4,"Toyota RAV4, ",Yeniləndi: 08.11.2023,Baxışların sayı: 923,Bakı,Toyota,RAV4,2023,Offroader / SUV,Qara,2.5 L/218 a.g./Hibrid,5 300 km,Avtomat,Ön,Xeyr,37 000 USD
https://turbo.az/autos/7608538-lamborghini-urus,"Lamborghini Urus, ",Yeniləndi: 07.11.2023,Baxışların sayı: 73277,Bakı,Lamborghini,Urus,2021,Offroader / SUV,Göy,4.0 L/650 a.g./Benzin,8 200 km,Avtomat,Tam,Xeyr,303 000 USD
https://turbo.az/autos/7888233-opel-astra,"Opel Astra, ",Yeniləndi: 08.11.2023,Baxışların sayı: 4,Bakı,Opel,Astra,2000,Universal,Qara,1.8 L/116 a.g./Benzin,280 000 km,Mexaniki,Ön,Xeyr,8 500 AZN
https://turbo.az/autos/7857174-hyundai-santa-fe,"Hyundai Santa Fe, ",Yeniləndi: 08.11.2023,Baxışların sayı: 2315,Bakı,Hyundai,Santa Fe,2008,Offroader / SUV,Tünd qırmızı,2.0 L/175 a.g./Dizel,252 000 km,Avtomat,Tam,Xeyr,22 300 AZN
https://turbo.az/autos/7837173-bmw-530,"BMW 530, ",Yeniləndi: 08.11.2023,Baxışların sayı: 10608,Bakı,BMW,530,2003,Sedan,Qırmızı,3.0 L/231 a.g./Benzin,259 000 km,Avtomat,Arxa,Xeyr,12 800 AZN
https://turbo.az/autos/7888232-opel-astra,"Opel Astra, ",Yeniləndi: 08.11.2023,Baxışların sayı: 6,Gəncə,Opel,Astra,1999,Hetçbek,Gümüşü,1.6 L/90 a.g./Benzin,296 158 km,Avtomat,Ön,Xeyr,8 800 AZN
https://turbo.az/autos/7872946-hyundai-santa-fe,"Hyundai Santa Fe, ",Yeniləndi: 08.11.2023,Baxışların sayı: 1463,Bakı,Hyundai,Santa Fe,2010,Offroader / SUV,Ağ,3.5 L/280 a.g./Benzin,171 822 km,Avtomat,Tam,Xeyr,25 000 AZN
https://turbo.az/autos/7879303-kia-sorento,"Kia Sorento, ",Yeniləndi: 08.11.2023,Baxışların sayı: 726,Bakı,Kia,Sorento,2021,Offroader / SUV,Yaş Asfalt,2.2 L/199 a.g./Dizel,60 000 km,Robotlaşdırılmış,Tam,Xeyr,76 500 AZN
https://turbo.az/autos/7841034-mercedes-c-280,"Mercedes C 280, ",Yeniləndi: 08.11.2023,Baxışların sayı: 7322,Bakı,Mercedes,C 280,1998,Sedan,Ağ,2.8 L/197 a.g./Benzin,383 000 km,Avtomat,Arxa,Xeyr,9 400 AZN
https://turbo.az/autos/7888207-mitsubishi-pajero,"Mitsubishi Pajero, ",Yeniləndi: 08.11.2023,Baxışların sayı: 30,Bakı,Mitsubishi,Pajero,2008,Offroader / SUV,Qara,3.0 L/188 a.g./Benzin,171 000 km,Avtomat,Tam,Xeyr,23 800 AZN
https://turbo.az/autos/7886756-kia-sorento,"Kia Sorento, ",Yeniləndi: 08.11.2023,Baxışların sayı: 71,Bakı,Kia,Sorento,2014,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,168 000 km,Avtomat,Ön,Xeyr,40 500 AZN
https://turbo.az/autos/7843755-bmw-528,"BMW 528, ",Yeniləndi: 08.11.2023,Baxışların sayı: 9237,Sumqayıt,BMW,528,1999,Sedan,Gümüşü,2.8 L/193 a.g./Benzin,326 000 km,Avtomat,Arxa,Xeyr,8 900 AZN
https://turbo.az/autos/7864137-kia-sorento,"Kia Sorento, ",Yeniləndi: 08.11.2023,Baxışların sayı: 85,Bakı,Kia,Sorento,2013,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,218 000 km,Avtomat,Ön,Xeyr,33 500 AZN
https://turbo.az/autos/7887209-jaguar-xf,"Jaguar XF, ",Yeniləndi: 08.11.2023,Baxışların sayı: 1010,Bakı,Jaguar,XF,2013,Universal,Yaş Asfalt,2.2 L/200 a.g./Dizel,165 000 km,Avtomat,Arxa,Xeyr,28 000 USD
https://turbo.az/autos/7764300-kia-sorento,"Kia Sorento, ",Yeniləndi: 08.11.2023,Baxışların sayı: 1662,Sumqayıt,Kia,Sorento,2004,Offroader / SUV,Qara,2.5 L/140 a.g./Dizel,374 000 km,Avtomat,Ön,Xeyr,14 800 AZN
https://turbo.az/autos/7728792-hyundai-santa-fe,"Hyundai Santa Fe, ",Yeniləndi: 08.11.2023,Baxışların sayı: 4100,Bakı,Hyundai,Santa Fe,2012,Offroader / SUV,Bej,2.0 L/184 a.g./Dizel,141 000 km,Avtomat,Ön,Xeyr,31 300 AZN
https://turbo.az/autos/7882876-toyota-camry,"Toyota Camry, ",Yeniləndi: 08.11.2023,Baxışların sayı: 831,Bakı,Toyota,Camry,2018,Sedan,Ağ,2.5 L/200 a.g./Benzin,115 000 km,Avtomat,Ön,Xeyr,36 400 USD
https://turbo.az/autos/7888210-kamaz-6520,"KamAz 6520, ",Yeniləndi: 08.11.2023,Baxışların sayı: 24,Gəncə,KamAz,6520,2012,Yük maşını,Ağ,12 L/191 a.g./Dizel,100 000 km,Mexaniki,Tam,Xeyr,36 200 AZN
https://turbo.az/autos/7599842-land-rover-defender,"Land Rover Defender, ",Yeniləndi: 08.11.2023,Baxışların sayı: 14538,Bakı,Land Rover,Defender,2023,Offroader / SUV,Yaş Asfalt,3.0 L/300 a.g./Dizel,0 km,Avtomat,Tam,Bəli,144 900 USD
https://turbo.az/autos/7850516-mercedes-gl-550,"Mercedes GL 550, ",Yeniləndi: 08.11.2023,Baxışların sayı: 1887,Bakı,Mercedes,GL 550,2008,Offroader / SUV,Ağ,5.5 L/382 a.g./Benzin,126 000 km,Avtomat,Tam,Xeyr,34 500 AZN
https://turbo.az/autos/7772890-land-rover-rr-sport,"Land Rover RR Sport, ",Yeniləndi: 08.11.2023,Baxışların sayı: 8526,Bakı,Land Rover,RR Sport,2018,Offroader / SUV,Boz,3.0 L/306 a.g./Dizel,64 000 km,Avtomat,Tam,Xeyr,61 500 USD
https://turbo.az/autos/7816053-toyota-camry,"Toyota Camry, ",Yeniləndi: 08.11.2023,Baxışların sayı: 26673,Bakı,Toyota,Camry,2023,Sedan,Ağ,2.5 L/218 a.g./Hibrid,10 km,Avtomat,Ön,Bəli,47 500 USD
https://turbo.az/autos/7644367-ford-transit,"Ford Transit, ",Yeniləndi: 08.11.2023,Baxışların sayı: 10222,Şəki,Ford,Transit,2010,Furqon,Ağ,2.2 L/125 a.g./Dizel,255 658 km,Mexaniki,Ön,Xeyr,22 500 AZN
https://turbo.az/autos/7888216-lada-vaz-2107,"LADA (VAZ) 2107, ",Yeniləndi: 08.11.2023,Baxışların sayı: 42,Bakı,LADA (VAZ),2107,2008,Sedan,Ağ,1.7 L/80 a.g./Benzin,147 000 km,Mexaniki,Arxa,Xeyr,6 500 AZN
https://turbo.az/autos/7888178-bmw-528,"BMW 528, ",Yeniləndi: 08.11.2023,Baxışların sayı: 36,Bakı,BMW,528,2016,Sedan,Ağ,2.0 L/245 a.g./Benzin,98 000 km,Avtomat,Arxa,Xeyr,40 800 AZN
https://turbo.az/autos/7888212-skoda-karoq,"Skoda Karoq, ",Yeniləndi: 08.11.2023,Baxışların sayı: 16,Bakı,Skoda,Karoq,2020,Offroader / SUV,Göy,1.4 L/160 a.g./Benzin,60 000 km,Avtomat,Ön,Xeyr,31 500 AZN
https://turbo.az/autos/7833847-kia-sportage,"Kia Sportage, ",Yeniləndi: 08.11.2023,Baxışların sayı: 2273,Bakı,Kia,Sportage,2014,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,157 000 km,Avtomat,Ön,Xeyr,29 500 AZN
https://turbo.az/autos/7820006-ford-transit,"Ford Transit, ",Yeniləndi: 08.11.2023,Baxışların sayı: 7770,Bakı,Ford,Transit,2007,Furqon,Ağ,2.4 L/140 a.g./Dizel,142 000 km,Mexaniki,Arxa,Xeyr,23 500 AZN
https://turbo.az/autos/7879456-kia-sorento,"Kia Sorento, ",Yeniləndi: 08.11.2023,Baxışların sayı: 1565,Bakı,Kia,Sorento,2015,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,76 000 km,Avtomat,Ön,Xeyr,38 900 AZN
https://turbo.az/autos/7866026-toyota-rav4,"Toyota RAV4, ",Yeniləndi: 08.11.2023,Baxışların sayı: 1818,Bakı,Toyota,RAV4,2019,Offroader / SUV,Qara,2.0 L/175 a.g./Benzin,66 319 km,Avtomat,Ön,Xeyr,48 500 AZN
